|character|text|type|character_clean|gender
973|CARTER|Has something happened to Daphne?|speech|CARTER|F
974|EASY|"The last time I saw her she looked
fine."|speech|EASY|M
975||CARTER|unknown||
976|EASY|You saw her?|speech|EASY|M
977||EASY|unknown||
978|EASY|Yeah.   Last night.|speech|EASY|M
979|CARTER|She's still in town?|speech|CARTER|F
980|EASY|She was last night.|speech|EASY|M
981|CARTER|"What did she say -- what was she
wearing?"|speech|CARTER|F
982||EASY|unknown||
983|CARTER|A blue dress.    Blue heels.|speech|CARTER|F
984|CARTER|And a pin on her chest?|speech|CARTER|F
985|EASY|Yeah, on the left side.|speech|EASY|M
986||"CARTER
(carried away)"|unknown||
987|EASY|"Oh yes, that's her. That's her.
You know I've never known a woman
who could wear perfume so slight
that--"|speech|EASY|M
988|EASY|--Mr. Carter, Mr. Carter--|speech|EASY|M
989|CARTER|"What did she say? What did she
say?... Oh, I'm sorry. Brandy?"|speech|CARTER|F
990||"66.
70   CONTINUED:   (2)                                              70"|unknown||
991||"He points to a crystal decanter near Easy. Easy pours
himself a drink and takes in Carter as he wrings his hands
to keep from going to pieces. This guy's got it bad."|stage direction||
992||EASY|unknown||
993|CARTER|"Mr. Carter. I came here to get
some answers."|speech|CARTER|F
994|CARTER|Yes...?|speech|CARTER|F
995|EASY|"I don't know... I'm takin' a
helluva chance..."|speech|EASY|M
996||"Carter runs his hand through his hair again, the suspense
killing him."|stage direction||
997||(continuing)|unknown||
998|EASY|"I guess it's just that when I'm
working for somebody, I wanna know
what I'm gettin' myself into..."|speech|EASY|M
999||Carter leans in as if he missed something.|stage direction||
1000|CARTER|I beg your pardon.|speech|CARTER|F
1001|EASY|"Well, I'd like to know the real
reason why Mr. Albright hired me."|speech|EASY|M
1002||"CARTER
(after a moment)"|unknown||
1003|EASY|Mr. Albright?|speech|EASY|M
1004||EASY|unknown||
1005|EASY|"Yeah. The man you hired to find
Daphne."|speech|EASY|M
1006|CARTER|"There must be some mistake... I'm
sorry, busy... Who are you talking
about?"|speech|CARTER|F
1007||"Easy and Carter stare at each other, not sure how to
proceed."|stage direction||
1008|EASY|"You didn't hire somebody to find
your girlfriend?"|speech|EASY|M
1009||"67.
70   CONTINUED:   (3)                                                 70"|unknown||
1010|CARTER|"No... Until just now I was sure
that she was hundreds of miles away
from here... You say someone is
looking for her?"|speech|CARTER|F
1011||"Easy nods, his brow furrowed in thought. Carter gets up and
walks to the door, looking out into the canyon."|stage direction||
1012||(half to himself)|unknown||
1013|CARTER|Someone is looking for her.|speech|CARTER|F
1014|EASY|What's goin' on between you two?|speech|EASY|M
1015||Carter shrugs and stammers nervously.|stage direction||
1016|CARTER|"Uh... I don't know... We were going
to be married... We had a fight..."|speech|CARTER|F
1017||(then recovering)|unknown||
1018|CARTER|"Uh... that's none of your concern,
Mr. Rawlins."|speech|CARTER|F
1019||"He stops and looks to the floor, the gravity pulling him
down... way down."|stage direction||
1020||(continuing)|unknown||
1021|CARTER|"Someone's... after her? A Mr.
Albright? And he said he's working
for me?"|speech|CARTER|F
1022|EASY|"Yeah... Do you know a man named
Richard McGee?"|speech|EASY|M
1023|CARTER|No... I can't say that I do.|speech|CARTER|F
1024|EASY|"Why would someone be after her, Mr.
Carter?"|speech|EASY|M
1025|CARTER|"Uh... I can't say -- I don't
know..."|speech|CARTER|F
1026||He's lying and Easy knows it.|stage direction||
1027||"68.
70   CONTINUED:   (4)                                              70
CARTER
(continuing)"|unknown||
1028|CARTER|"Do you think you could find her
again?"|speech|CARTER|F
1029||EASY|unknown||
1030|CARTER|I don't know.|speech|CARTER|F
1031|CARTER|"It's important, Mr. Rawlins, for
her sake... I'm willing to pay you."|speech|CARTER|F
1032|EASY|Mr. Carter, why did she leave?|speech|EASY|M
1033|CARTER|"I can't tell you any more Mr.
Rawlins -- I'll pay you to find
her..."|speech|CARTER|F
1034||Easy thinks about it, and then nods.|stage direction||
1035|EASY|Okay... a thousand dollars.|speech|EASY|M
1036|CARTER|A thousand dollars?!|speech|CARTER|F
1037||EASY|unknown||
1038|CARTER|"Yeah.   I'll take two hundred right
now."|speech|CARTER|F
1039|CARTER|"Mr. Rawlins. I think you're trying
to take advantage of me. But left
me inform you that the incumbent
mayor and the chief of police eat
at my house regularly."|speech|CARTER|F
1040||EASY|unknown||
1041|CARTER|Good.   Then they can help us--|speech|CARTER|F
1042||CARTER|unknown||
1043|CARTER|--No.   They can't!|speech|CARTER|F
