|character|text|type|character_clean|gender|principal_character
1468|RUSTY|"What about someone he doesn't know
but trusts?"|speech|RUSTY|M|True
1469|DANNY|For instance?|speech|DANNY|M|True
1470|RUSTY|"I'm talking about you know who, who
looks an awful lot like you know
who..."|speech|RUSTY|M|True
1471||Everyone looks at Danny.|location|||
1472||"(CONTINUED)
98.
156   CONTINUED:                                                   156"|unknown|||
1473|DANNY|"She might. It's not going to be
easy getting her over here."|speech|DANNY|M|True
1474||157   EXT. DEPARTMENT STORE -- DAY                                 157|unknown|||
1475||"Tess walks down the street. She passes an alley, where a
utilities truck is raising a MAN IN A BUCKET.
She enters the department store."|location|||
1476||158   INT. DEPARTMENT STORE -- DAY                                 158|unknown|||
1477||"Tess shops for perfume.   The Power twins watch her from a
discreet distance.
She smiles at them.   Then makes her way to the ladies room."|location|||
1478||159   INT. LADIES ROOM -- DAY                                      159|unknown|||
1479||"She walks in and goes right for the window. She's about to
open it when it opens from outside. She jumps a mile until
she sees that BRUISER is there, standing in the bucket from
the utilities company."|location|||
1480|BRUISER|"Hiya, Tess. Just climb on through.
Try not to look down too much."|speech|BRUISER|?|
1481||160   EXT. DEPARTMENT STORE -- DAY                                 160|unknown|||
1482||"Four stories above an alleyway. Tess climbs out the ladies
room window into the cherry picker basket, with Bruiser's
help."|location|||
1483||161   EXT. STREET LEVEL -- A MINUTE LATER                          161|unknown|||
1484||"Tess climbs into a taxi cab. Reuben -- in an anachronistic
taxi driver's uniform -- is driving."|location|||
1485|REUBEN|"There's make-up in the bag there.
And some photos. Do the best you
can."|speech|REUBEN|F|True
1486||"99.
162   INT. THE POSHEST ROME HOTEL -- DAY                        162"|unknown|||
1487||The HOTEL MANAGER comes to the front desk to answer a call.|location|||
