;vocab_male;vocab_male_count;vocab_female;vocab_female_count
961;series;15;cabinet;6
962;plate;15;stormfly;6
963;mrs;15;b;6
964;knew;15;grab;6
965;kick;15;w;6
966;scott;15;quit;6
967;pickup;15;file;6
968;gettin;15;surface;6
969;doorway;15;dusk;6
970;paul;15;effect;6
971;thief;15;destruction;6
972;pressure;15;drone;6
973;gravity;15;begin;6
974;humor;15;console;6
975;heller;15;desk;6
976;jacobs;15;knox;6
977;trailer;15;henchman;6
978;jordan;15;transfer;6
979;signal;15;hq;6
980;click;15;record;6
981;key;15;rule;6
982;huntsman;15;repeat;6
983;reflection;15;container;6
984;rescue;15;enjoy;5
985;calm;15;hide;5
986;goodbye;15;carpet;5
987;bam;15;smoke;5
988;shift;15;glance;5
989;airport;15;plot;5
990;responsibility;15;mo;5
991;insurance;15;estate;5
992;cuz;15;series;5
993;hammond;15;laboratory;5
994;cure;15;network;5
995;closing;15;struggle;5
996;ridge;15;dammit;5
997;hide;15;hook;5
998;difference;15;cycle;5
999;charlie;15;louder;5
1000;presence;15;feeling;5
1001;sheriff;15;doin;5
1002;george;15;deacon;5
1003;moon;15;tech;5
1004;symbol;15;probe;5
1005;list;15;hank;5
1006;style;15;coast;5
1007;port;15;johanna;5
1008;rainbow;15;steal;5
1009;river;15;mud;5
1010;g;15;science;5
1011;empire;15;wu;5
1012;china;14;tone;5
1013;score;14;royal;5
1014;shadow;14;canyon;5
1015;training;14;mid;5
1016;status;14;queen;5
1017;sight;14;note;5
1018;gregor;14;humanity;5
1019;sergeant;14;icy;5
1020;h;14;happen;5
1021;taggart;14;smell;5
1022;identity;14;weekend;5
1023;lung;14;amusement;5
1024;secure;14;feliciano;5
1025;da;14;push;5
1026;mib;14;row;5
1027;anger;14;worth;5
1028;slaver;14;thirty;5
1029;thinking;14;shift;5
1030;ash;14;visit;5
1031;vampire;14;afford;5
1032;loss;14;leviathan;5
1033;worth;14;fantasos;5
1034;gordon;14;laughter;5
1035;bay;14;grow;5
1036;balance;14;policy;5
1037;jupiter;14;wagon;5
1038;suspect;14;ed;5
1039;max;14;gimme;5
1040;cough;14;wickwire;5
1041;bottle;14;someplace;5
1042;chamber;14;internet;5
1043;response;14;marine;5
1044;prophet;14;language;5
1045;raise;14;adventure;5
1046;shape;14;copy;5
1047;jimmy;14;boyfriend;5
1048;f;14;offering;5
1049;explanation;14;egg;5
1050;gaze;14;uncle;5
1051;fucker;14;mister;5
1052;wreckage;14;dick;5
1053;sleep;14;hostage;5
1054;reputation;14;assistant;5
1055;roper;14;college;5
1056;theory;14;blame;5
1057;bracelet;14;expression;5
1058;grass;14;pod;5
1059;rate;14;klaus;5
1060;court;14;soil;5
1061;jotunheim;14;sid;5
1062;sid;14;tamburlane;5
1063;afraid;14;spyros;5
1064;cube;14;swim;5
1065;radiation;14;dare;5
1066;member;14;twelve;5
1067;boot;14;scottie;5
1068;kinda;14;moon;5
1069;howl;13;custody;5
1070;respond;13;act;5
1071;split;13;candy;5
1072;offer;13;taylor;5
1073;punk;13;ad;5
1074;surgery;13;landscape;5
1075;rush;13;film;5
1076;mask;13;bmw;5
1077;observatory;13;dollar;5
1078;realize;13;horror;5
1079;owner;13;ticket;5
1080;garage;13;difference;5
1081;band;13;tea;5
1082;photo;13;coyote;5
1083;division;13;shark;5
1084;assistance;13;playing;5
1085;cat;13;committee;5
1086;television;13;infantery;5
1087;twelve;13;weight;5
1088;pool;13;seventy;5
1089;yo;13;heartbeat;5
1090;fischer;13;strickland;5
1091;grey;13;swarm;5
1092;muscle;13;grace;5
1093;circle;13;grey;5
1094;william;13;tool;5
1095;auto;13;gort;5
1096;university;13;flicker;5
1097;legacy;13;circle;5
1098;ashley;13;basement;5
1099;panda;13;insane;5
1100;coast;13;intelligence;5
1101;earl;13;defense;5
1102;amoun;13;movie;5
1103;nerve;13;leg;5
1104;bow;13;connection;5
1105;carry;13;sweet;5
1106;fist;13;fenland;5
1107;century;13;sweetheart;5
1108;engineering;13;pace;5
1109;stock;13;rip;5
1110;sonofabitch;13;conflict;5
1111;progress;13;assignment;5
1112;brand;13;task;5
1113;pin;13;entry;5
1114;roach;13;senate;5
1115;wagon;13;martin;5
1116;weed;13;plenty;5
1117;relief;13;fast;5
1118;jeep;13;poster;5
1119;treat;13;desire;5
1120;harmsway;13;professor;5
